Department,CourseNumber,Prerequisites
ARCH,329,ARCH 101 or ARCH 201.
ARCH,340,ARCH 101 or ARCH 201.
ARCH,344,ARCH 131 or any lower division biology course.
ARCH,348,"Six units in Archaeology, including ARCH 101 or ARCH 201."
ARCH,350,Acceptance in the Environment Co-operative Education Program.
ARCH,351,ARCH 350 and readmission to the Environment Co-operative Education Program.
ARCH,363,"ARCH 100 or ARCH 101 or ARCH 201, and 45 units."
ARCH,365,"ARCH 101 or ARCH 201; or any two of ARCH 100, REM 100, GEOG 100, EVSC 100; and 45 units."
ARCH,373,"ARCH 131 or any lower division ARCH, BISC, HSCI, or BPK course."
ARCH,374,ARCH 101 (or ARCH 201). Recommended: ARCH 282 (or ARCH 372) and ARCH 271.
ARCH,375,"ARCH 101, ARCH 201, or 45 units."
ARCH,376,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205."
ARCH,377,"ARCH 101 or ARCH 201, and one lower division ARCH course."
ARCH,378,ARCH 273.
ARCH,382,ARCH 282 or 372.
ARCH,383,"Any lower division ARCH, BISC, BPK, CHEM, CRIM or HSCI course."
ARCH,386,ARCH 101 or ARCH 201.
ARCH,390,ARCH 101 or ARCH 201 and either ARCH 272/272W or 273.
ARCH,433,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 434 and 435.
ARCH,434,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 435.
ARCH,435,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 434.
ARCH,436,ARCH 373 and permission of the department. Normally taken concurrently with ARCH 433 and ARCH 434.
ARCH,442,"ARCH 373 or CRIM 357, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended."
ARCH,450,ARCH 351 and readmission to the Environment Co-operative Education Program.
ARCH,451,ARCH 450 and readmission to the Environment Co-operative Education Program.
ARCH,452,"ARCH 373 or HSCI 321, HSCI 324, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended."
ARCH,479,"45 units, including ARCH 282 or 372, and permission of the department."
ARCH,480,"45 units, including ARCH 282 or 372, and permission of the department."
ARCH,498,Permission of the department.
ARCH,499,Permission of the department.
BISC,101,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+); and Chemistry 12 (or equivalent) with a minimum grade of C (or CHEM 111 with a minimum grade of C-)."
BISC,102,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+)."
BISC,106,Enrolled in the MSE program.
BISC,113,
BISC,171,
BISC,202,"BISC 101 and 102, both with a minimum grade of C-."
BISC,204,"BISC 101 and 102, both with a minimum grade of C-."
BISC,205,"BISC 101, BISC 102, and PHYS 101, all with a minimum grade of C-."
BISC,212,"BISC 101 and 102, both with a minimum grade of C-, and completion of less than 60 units; or permission of the instructor."
BISC,298,
BISC,300,BISC 202 with a minimum grade of C-. Recommended: BISC 204.
BISC,303,"BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-."
BISC,305,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-."
BISC,306,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-."
BISC,308,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-."
BISC,309,BISC 204 with a minimum grade of C-.
BISC,313,"BISC 101 and (BISC 204, or BISC 205, or GEOG 215, or MBB 231), both with a minimum grade of C-."
BISC,316,"BISC 101 and 102, both with a minimum grade of C-."
BISC,317,"BISC 101 and 102, both with a minimum grade of C-."
BISC,318,"BISC 101, 102, and (BISC 204 or HSCI 212), all with a minimum grade of C-."
BISC,328,"BISC 101 and 102, both with a minimum grade of C-. Recommended: BISC 204."
BISC,333,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-."
BISC,337,"BISC 101 and 102, both with a minimum grade of C-."
BISC,341,Acceptance in the Biological Sciences Co-operative Education Program.
BISC,342,BISC 341 and readmission to the Science Co-op Education Program.
BISC,357,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: MBB 331."
BISC,366,"BISC 205 and MBB 231, both with a minimum grade of C-."
BISC,371,A minimum of 45 units.
BISC,373,60 units.
BISC,405,"Students complete one of: (BISC 205 and MBB 231), or (BPK 205 and MBB 231), or BPK 306, or HSCI 321; each with a minimum grade of C-."
BISC,406,BISC 306 or BISC 316 with a grade of C- or better.
BISC,407,"BISC 102, (BISC 204 or GEOG 215), and MATH 154, all with a minimum grade of C-."
BISC,410,"BISC 102 and (BISC 204 or GEOG 215), both with a minimum grade of C-."
BISC,412,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-."
BISC,413,BISC 204 with a minimum grade of C-.
BISC,423,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: BISC 333 or MBB 331."
BISC,424,"BISC 202, MBB 222, MBB 231, and (BISC 357 or MBB 331), all with a minimum grade of C-."
BISC,425,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-."
BISC,428,"BISC 101, BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-."
BISC,433,"MBB 222, MBB 231, and BISC 303, all with a minimum grade of C-."
BISC,441,"BISC 202 or 204, both with a minimum grade of C-. Recommended: BISC 300."
BISC,443,BISC 342 and readmission to the Science Co-op Education Program.
BISC,444,BISC 443 and re-admission to the science co-operative education program.
BISC,446,BISC 444 and readmission to the Science Co-op Education Program.
BISC,447,"MBB 322 or BISC 333, with a minimum grade of C."
BISC,457,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-."
BISC,471,To be announced.
BISC,474,To be announced.
BISC,475,To be announced.
BISC,490,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program."
BISC,491,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and 492."
BISC,498,Completion of lower division course requirements.
BISC,499,Completion of lower division course requirements.
BPK,105,"Recommended: Grade 11 Biology, Chemistry and Physics."
BPK,110,
BPK,140,
BPK,141,
BPK,142,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of B or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better."
BPK,143,Recommended: Medical clearance from a personal physician.
BPK,201,"MATH 150, 151 or 154, MATH 152 or 155 (may be taken concurrently), PHYS 101 (or 120 or 125 or 140), BPK 142."
BPK,205,"BISC 101, CHEM 281, PHYS 101 and 102."
BPK,207,BPK 142 or permission of instructor.
BPK,208,
BPK,241,BPK 142.
BPK,301,"PHYS 102 (or 121 or 126 or 141), BPK 201."
BPK,303,"BPK 201, BPK 241 and STAT 201 or an equivalent statistics course."
BPK,305,"BPK 205, MBB 231 (or 201), MATH 155 (or 152). Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
BPK,306,"BPK 207. Corequisite: BPK 305. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
BPK,307,"BPK 305. Corequisite: BPK 306; however, students who took BPK 306 prior to Fall 2017, cannot take this course. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 or 152 plus permission of the instructor."
BPK,310,"BPK 205, MBB 201 (or 231). Recommended: BPK 201."
BPK,311,"BPK 105 or 205, and 110."
BPK,312,"BPK 105 (or 205), and 110."
BPK,325,BPK 142 and either BPK 105 (with a grade of C or higher) or BPK 205.
BPK,326,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units."
BPK,340,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140."
BPK,342,"BPK 105 (or 205), 142 and 143."
BPK,343,"BPK 142, 143 and 205; STAT 201 or an equivalent statistics course, BPK 340 (may be taken concurrently). Students must successfully complete a Criminal Record Check prior to enrolling."
BPK,351,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50."
BPK,352,BPK 351.
BPK,375,"BPK 105 or 205, and 142."
BPK,381,PSYC 210 or both of BPK 207 and STAT 201. Corequisite: STAT 201 may be taken concurrently. Recommended: BPK 180.
BPK,401,"90 credits, BPK 201 and 205, or BPK 208."
BPK,407,"BPK 304W, 305 and 306."
BPK,409,"BPK 304W, 305 and 306."
BPK,415,BPK 306 or BISC 305.
BPK,417,"BPK 306, 340. Recommended: BPK 110."
BPK,421,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.
BPK,422,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.
BPK,423,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.
BPK,426,BPK 326. Corequisite: BPK 306. BPK 306 is recommended to be completed prior to enrolling in BPK 426.
BPK,432,BPK 305 or BISC 305. Recommended: BPK 407.
BPK,443,"BPK 304W, 310 and 343 (one of which may be taken as a corequisite)."
BPK,444,"BPK 305. Recommended: BPK 110, 306, 310 and 343."
BPK,446,BPK 306. Recommended: BPK 336 and/or BPK 415.
BPK,448,"BPK 201 or 207, and BPK 306, or for biomedical engineering students, BPK 201 and 208."
BPK,451,BPK 352.
BPK,452,BPK 451.
BPK,453,BPK 452.
BPK,457,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee."
BPK,459,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.
BPK,481,BPK 303 and 326.
BPK,482,"BPK 180W, 201, 326, and 381. Corequisite: BPK 481. Students must successfully complete a Criminal Record Check before enrolling."
BPK,491,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499."
BPK,495,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.
BPK,496,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
BPK,498,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
BPK,499,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.
BUS,200,
BUS,201,This course is only open to approved business administration majors admitted to the faculty through the Business Foundation Pathways - High School Pathway. Corequisite: BUS 203 with a P grade.
BUS,202,"This course is only open to approved business administration majors, joint majors, or second degree students admitted to the faculty through the Business Foundation Pathways - Transfer Pathway. Corequisite: BUS 203 with a P grade."
BUS,203,"This course is only open to approved business administration majors admitted to the faculty through the BBA major - highschool or transfer stream in Fall 2022 and onward. Corequisite: BUS 201 or BUS 202, with a minimum grade of C-."
BUS,207,"ECON 103 or ECON 113, ECON 105 or ECON 115, MATH 157, all with a minimum grade of C-; 15 units."
BUS,221,
BUS,225,
BUS,232,
BUS,233,12 units.
BUS,237,12 units.
BUS,238,12 units.
BUS,240,12 units.
BUS,251,12 units.
BUS,254,BUS 251 with a minimum grade of C-; 15 units.
BUS,272,12 units.
BUS,275,12 units.
BUS,300,"This course is only open to approved business administration majors admitted to the faculty in Fall 2022 and onward. BUS 100 or BUS 203, with a P grade and BUS 217W with a minimum grade of C-; 45 units. Recommendation to take with BUS 360W."
BUS,303,45 units.
BUS,307,"45 units; BUS 207 or ECON 201, with a minimum grade of C-."
BUS,311,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 with a minimum grade of C- and 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have credit for BUS 251 with a minimum grade of C-, 45 units, and corequisite: BUS 200."
BUS,312,BUS 254 with a minimum grade of C- and 45 units; OR actuarial science students with BUS 254 with a minimum grade of C- and 45 units. Recommended: BUS 207 or ECON 201.
BUS,314,"BUS 238 or BUS 240, with a minimum grade of C-; 45 units."
BUS,315,"BUS 312, BUS 336 and (BUS 207 or ECON 201), all with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units."
BUS,316,"BUS 312 and BUS 336, both with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units."
BUS,318,"BUS 312 with a minimum grade of C-, 45 units, and permission of the instructor. This course is only open to students selected for the BEAM program."
BUS,320,BUS 251 with a minimum grade of C-; 45 units.
BUS,321,BUS 320 with a minimum grade of C-; 45 units.
BUS,322,"BUS 254 with a minimum grade of C-, 45 units."
BUS,325,
BUS,326,
BUS,327,
BUS,330,
BUS,331,"BUS 330 (or BUS 329) with a minimum grade of C-, 45 units."
BUS,336,"MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; BUS 232, ECON 233, STAT 270, or STAT 271, with a minimum grade of C-; 45 units."
BUS,338,"BUS 238 or BUS 240, with a minimum grade of C-; 45 units."
BUS,340,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
BUS,341,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
BUS,343,45 units.
BUS,345,"BUS 232 or ECON 233 or STAT 270 or STAT 271, and BUS 343, both with a minimum grade of C- and 45 units; OR data science majors with BUS 343 with a minimum grade of C- and 45 units."
BUS,346,45 units.
BUS,347,BUS 343 with a minimum grade of C-; 45 units.
BUS,361,45 units.
BUS,362,BUS 237 with a minimum grade of C-; 45 units; OR Data Science majors with 45 units.
BUS,371,45 units; BUS 217W with a minimum grade of C-.
BUS,373,"BUS 232, ECON 233, STAT 270, or STAT 271, with a minimum grade of C-; 45 units."
BUS,374,45 units; BUS 272 with a minimum grade of C-.
BUS,381,BUS 272 with a minimum grade of C-; 45 units.
BUS,393,45 units.
BUS,396,45 units.
BUS,401,"BUS 311 (or BUS 254 and BUS 312), BUS 340, BUS 341, all with a minimum grade of C-; 60 units. The course is only open to students in the business minor program."
BUS,406,"Instructor permission. BUS 360W or innovation and entrepreneurship certificate students with an upper division Writing (W) course, with a minimum grade of C-; 60 units."
BUS,410,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
BUS,411,"BUS 315 and BUS 360W, both with a minimum grade of C-; 60 units."
BUS,413,"BUS 312, BUS 315, and BUS 360W, all with a minimum grade of C-; 60 units."
BUS,414,"BUS 315, BUS 360W, both with a minimum grade of C-; 60 units."
BUS,417,"BUS 315, 360W, both with a minimum grade of C-; 60 units."
BUS,418,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
BUS,419,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
BUS,420,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
BUS,421,"BUS 321 and BUS 360W, both with a minimum grade of C-; 60 units."
BUS,424,"BUS 322 and BUS 360W, both with a minimum grade of C-; 60 units."
BUS,425,
BUS,426,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
BUS,430,BUS 360W with a minimum grade of C-; 60 units. Recommended: BUS 346.
BUS,431,BUS 360W with a minimum grade of C-; 60 units. Recommended: BUS 346.
BUS,432,"BUS 360W and one of BUS 272 or 381, all with a minimum grade of C-; 60 units. Recommended: BUS 346."
BUS,434,BUS 360W with a minimum grade of C-; 60 units. Recommended: BUS 346.
BUS,435,BUS 360W with a minimum grade of C-; 60 units. Recommended: BUS 346.
BUS,437,"BUS 336, 360W, both with a minimum grade of C-; 60 units; OR Data Science majors with BUS 360W with a minimum grade of C- and 60 units."
BUS,439,"BUS 345 or BUS 440, BUS 360W, BUS 437 or BUS 441, BUS 445, BUS 462, and BUS 464, all with a minimum grade of C-; 90 units; OR Data Science majors with BUS 360W, BUS 445, CMPT 354, all with a minimum grade of C- and 90 units."
BUS,440,"BUS 336, 360W, both with a minimum grade of C-, 60 units; OR Data Science majors with BUS 360W with a minimum grade of C-, 60 units."
BUS,441,"BUS 232 or ECON 233 or STAT 270, BUS 360W, and BUS 343, all with a minimum grade of C-; 60 units."
BUS,443,"BUS 343 and BUS 360W, or innovation and entrepreneurship certificate students with BUS 343 and an upper division Writing (W) course, both with a minimum grade of C-; 60 units."
BUS,444,"BUS 343, 360W, both with a minimum grade of C-; 60 units."
BUS,445,"BUS 343, 336, 360W, all with a minimum grade of C-, 60 units; OR Data Science majors with BUS 343, 360W, both with a minimum grade of C-, and 60 units."
BUS,446,"BUS 343, 347, 360W, all with a minimum grade of C-; 60 units."
BUS,447,"BUS 343, 360W, both with a minimum grade of C-; 60 units. Recommended: BUS 346."
BUS,448,"BUS 347, 360W, both with a minimum grade of C-; 60 units."
BUS,449,"BUS 343 and 360W, or corporate environmental and social sustainability certificate students with BUS 343 and upper division Writing (W) course, both with a minimum grade of C-; 60 units."
BUS,450,BUS 360W (or another upper division Writing (W) course) with a minimum grade of C-; 60 units.
BUS,453,"BUS 360W or (corporate environmental and social sustainability certificate students or innovation and entrepreneurship certificate students with an upper division Writing (W) course), with a minimum grade of C-; 60 units. Recommended: BUS 338."
BUS,455,"BUS 254, BUS 345, BUS 347, and BUS 360W, all with a minimum grade of C-; 90 units."
BUS,462,"BUS 336, BUS 360W, BUS 362, all with a minimum grade of C-; 60 units. Corequisite: BUS 336 can be taken concurrently."
BUS,464,"BUS 360W, 362, both with a minimum grade of C-; 60 units."
BUS,466,"BUS 237, BUS 360W, BUS 362, all with a minimum grade of C-; 60 units."
BUS,468,"BUS 237, BUS 360W, BUS 362, all with a minimum grade of C-; 90 units."
BUS,471,60 units; BUS 360W with a minimum grade of C-.
BUS,473,"Students admitted prior to Fall 2023 with (BUS 373 or BUS 336) and BUS 360W, or students admitted Fall 2023 onward with BUS 373 and BUS 360W; both with a minimum grade of C-; 60 units."
BUS,474,"Students admitted prior to Fall 2023 with (BUS 373 or BUS 336) and BUS 360W, or students admitted Fall 2023 onward with BUS 373 and BUS 360W; both with a minimum grade of C-; 60 units."
BUS,475,"BUS 360W or corporate environmental and social sustainability certificate students with an upper division Writing (W) course, with a minimum grade of C-; 60 units."
BUS,477,"BUS 338 and BUS 360W, or innovation and entrepreneurship certificate students with BUS 338 and an upper division Writing (W) course, both with a minimum grade of C-; 60 units. Recommended: BUS 314, BUS 361."
BUS,478,"BUS 207 (or ECON 201 or ECON 301), BUS 312, 343, 360W and either BUS 374 or 381, all with a minimum grade of C-; 90 units."
BUS,479,BUS 360W with a minimum grade of C-; 75 units.
BUS,481,"BUS 381 and 360W, with a minimum grade of C-; 60 units."
BUS,482,"60 units; BUS 272, 381 and 360W, all with a minimum grade of C-."
BUS,483,"BUS 393, BUS 360W, both with a minimum grade of C-; 60 units."
BUS,484,"BUS 381 and 360W, with a minimum grade of C-; 60 units."
BUS,485,"BUS 272, 360W, and either 374 or 381, all with a minimum grade of C-; 60 units."
BUS,486,"BUS 272, 360W, and either 374 or 381, all with a minimum grade of C-; 60 units."
BUS,488,"BUS 360W and (BUS 374 or BUS 381), all with a minimum grade of C-; 60 units."
BUS,489,"(BUS 374 or BUS 381) and BUS 360W, or corporate environmental and social sustainability certificate students with an upper division Writing (W) course, all with a minimum grade of C-; 60 units."
BUS,492,As stated by the faculty at the time of offering and BUS 360W with a minimum grade of C-; 60 units.
BUS,496,"This course is only open to approved business administration majors admitted to the faculty in Fall 2022 and onward, BUS 300 with a P grade and BUS 360W with a minimum grade of C-; 95 units."
BUS,498,Permission of the faculty and BUS 360W with a minimum grade of C-; 60 units.
CA,104,
CA,117,
CA,118,
CA,120,
CA,122,Prior approval as a result of an audition. Corequisite: CA 122 and CA 129 must be taken concurrently.
CA,123,CA (or FPA) 122. Corequisite: CA 123 and CA 124 must be taken concurrently.
CA,124,"Declared dance major, extended minor, or permission from instructor."
CA,127,12 units.
CA,129,"Declared dance major, extended minor, or permission from instructor."
CA,130,Prior approval through formal application.
CA,131,CA (or FPA) 130 and prior approval.
CA,135,
CA,136,
CA,137,
CA,140,
CA,142,
CA,143,"Acceptance into the major, or permission of instructor. Corequisite: CA 145 or permission of instructor."
CA,144,CA 143. Corequisite: CA 146.
CA,145,
CA,146,CA 145. Corequisite: CA 144.
CA,149,
CA,150,
CA,151,By audition.
CA,152,CA 151.
CA,160,
CA,161,CA (or FPA) 160.
CA,170,
CA,174,
CA,186,
CA,216,"One of CA 135, 136, 137, 186, 235, 236, 316 (or 337), 318 (or 335), 416 (or 436), or 30 units."
CA,217,45 units including one history/theory course within the School for the Contemporary Arts.
CA,220,"CA (or FPA) 122, 123, 124, 129 and prior approval by interview."
CA,221,CA (or FPA) 220.
CA,230,"CA (or FPA) 131, and CA (or FPA) 136 or 137, and prior approval. Corequisite: CA 233."
CA,231,CA (or FPA) 230 and CA (or FPA) 233.
CA,232,CA (or FPA) 131.
CA,233,CA (or FPA) 131 and prior approval. Corequisite: CA 230.
CA,235,"One of CA (or FPA) 117 (or 167), 118 (or 168), 135, 136 or 137 or 30 units."
CA,240,"CA 140, 144, 146."
CA,241,CA 143 or permission of instructor.
CA,242,B or higher in CA 146 or permission of instructor.
CA,243,Prior approval.
CA,245,"CA 140, 144, and achieving a B (or higher) in CA 145 and CA 146."
CA,246,CA 245.
CA,247,"CA 140, 144, 146 or permission of instructor."
CA,249,CA (or FPA) 140 and/or prior approval.
CA,251,"One of CA 123, 131, 146, 152, 161, 171."
CA,252,"One of CA 123, 131, 146, 161, 171, 251."
CA,253,"One of CA 123, 131, 146, 152, 161, 171."
CA,254,"One of CA 123, 131, 146, 152, 161, 171."
CA,255,"One of CA 123, 131, 146, 152, 161, 171."
CA,256,"One of CA 123, 131, 146, 152, 161, 171."
CA,260,CA (or FPA) 118 (or 168) and 161. A course materials fee is required.
CA,261,CA (or FPA) 260. A course materials fee is required.
CA,262,CA (or FPA) 160. A course materials fee is required.
CA,263,CA (or FPA) 160. A course materials fee is required.
CA,265,CA (or FPA) 160. A course materials fee is required.
CA,269,CA (or FPA) 160. A course materials fee is required.
CA,270,CA (or FPA) 170.
CA,271,CA (or FPA) 170.
CA,276,"CA 174, CA 170 or permission of instructor."
CA,285,"One of CA 122, 130, 145, 150, 160, 170."
CA,304,30 units in Contemporary Arts.
CA,305,30 units in CA.
CA,306,45 units including CA 304 and permission of Internship Coordinator.
CA,307,45 units including CA 304 and permission of Internship Coordinator.
CA,308,A minimum of 30 units and approval of Field School Director.
CA,309,A minimum of 30 units and permission of Field School Director.
CA,314,"CA (or FPA) 117 (or 167), 186, and 210W (or 210)."
CA,315,45 units.
CA,316,Nine units in CA courses including CA 136 or 137.
CA,320,CA (or FPA) 221.
CA,321,CA (or FPA) 320.
CA,322,"Acceptance into the dance major or extended minor program, or prior approval."
CA,323,CA (or FPA) 322 or prior approval.
CA,324,"CA (or FPA) 124, 228W, and 285."
CA,326,"Acceptance into the dance major or extended minor, and prior approval. Corequisite: Students must be concurrently enrolled in a technique course at an appropriate level. These courses include CA 220, CA 320, CA 322, CA 420, and CA 421."
CA,327,"Acceptance into the dance major or extended minor and prior approval. Corequisite: Students must be concurrently enrolled in a technique course at an appropriate level. These courses include 220, 320, 322, 420, and 421."
CA,329,CA (or FPA) 221 or prior approval.
CA,332,CA (or FPA) 231 or prior approval.
CA,334,CA (or FPA) 231 and prior approval.
CA,339,"CA (or FPA) 231, or CA (or FPA) 251 with prior approval."
CA,340,B or higher in CA 245 or permission of instructor.
CA,341,45 units.
CA,343,CA 243.
CA,344,CA 140 or permission of instructor.
CA,345,CA 246.
CA,346,CA 345.
CA,347,CA 247 or permission of instructor.
CA,349,CA (or FPA) 245.
CA,350,"CA 252 and declared status in the theatre and performance major or honours, or by prior approval."
CA,354,"One of CA 221, 231, 246, 252, 261, 271, 285."
CA,355,CA 354.
CA,356,"One of CA 221, 231, 246, 252, 256, 261, 271, 285."
CA,360,"CA (or FPA) 117 (or 167), 118 (or 168), 210W (or 210), 261 and status as an approved Visual Art Major. Corequisite: CA 366."
CA,361,CA (or FPA) 360 and 366. Corequisite: CA 367.
CA,362,CA (or FPA) 160. A course materials fee is required.
CA,363,CA (or FPA) 160. A course materials fee is required.
CA,365,CA (or FPA) 160. A course materials fee is required.
CA,366,"CA (or FPA) 117 (or 167), 118 (or 168), 210W (or 210), 261 and status as an approved Visual Art Major. Corequisite: CA 360."
CA,367,CA (or FPA) 366. Corequisite: CA 361.
CA,369,CA (or FPA) 160. A course materials fee is required.
CA,370,CA (or FPA) 270 and 271 or prior approval.
CA,371,CA (or FPA) 270 and 271 or prior approval.
CA,374,CA (or FPA) 270 or prior approval.
CA,375,CA (or FPA) 270 or prior approval.
CA,376,"CA 270, CA 276, or permission of instructor."
CA,381,45 units.
CA,386,60 units.
