Department,CourseNumber,ParsedPrerequisites,numberOfOfferings,Prerequisites,Offerings
ARCH,313,"(ARCH100),(ARCH201),(HS100),(HS231),(HS232),(HIST277)",1,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor.",['Spring 2025']
ARCH,321,"(ARCH272W),(ARCH273)",1,"ARCH 272W or 273 or by permission of instructor. Other prerequisites may be required, but will vary according to topic.",['Summer 2024']
ARCH,322,(ARCH131),2,ARCH 131.,"['Summer 2025', 'Spring 2024']"
ARCH,323,(ARCH131),1,ARCH 131 or any lower division biology course.,['Fall 2024']
ARCH,329,"(ARCH101),(ARCH201)",1,ARCH 101 or ARCH 201.,['Spring 2024']
ARCH,340,"(ARCH101),(ARCH201)",2,ARCH 101 or ARCH 201.,"['Spring 2025', 'Spring 2024']"
ARCH,344,(ARCH131),1,ARCH 131 or any lower division biology course.,['Spring 2024']
ARCH,348,"(ARCH101),(ARCH201)",1,"Six units in Archaeology, including ARCH 101 or ARCH 201.",['Fall 2024']
ARCH,350,,2,Acceptance in the Environment Co-operative Education Program.,"['Summer 2024', 'Spring 2024']"
ARCH,351,(ARCH350),1,ARCH 350 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,363,"(ARCH100),(ARCH101),(ARCH201)",2,"ARCH 100 or ARCH 101 or ARCH 201, and 45 units.","['Spring 2025', 'Spring 2024']"
ARCH,365,"(ARCH101),(ARCH201),(ARCH100,REM100),(ARCH100,GEOG100),(ARCH100,EVSC100),(REM100,GEOG100),(REM100,EVSC100),(GEOG100,EVSC100)",2,"ARCH 101 or ARCH 201; or any two of ARCH 100, REM 100, GEOG 100, EVSC 100; and 45 units.","['Spring 2025', 'Spring 2024']"
ARCH,373,(ARCH131),2,"ARCH 131 or any lower division ARCH, BISC, HSCI, or BPK course.","['Spring 2025', 'Spring 2024']"
ARCH,374,"(ARCH101),(ARCH201)",1,ARCH 101 (or ARCH 201). Recommended: ARCH 282 (or ARCH 372) and ARCH 271.,['Fall 2024']
ARCH,375,"(ARCH101),(ARCH201)",1,"ARCH 101, ARCH 201, or 45 units.",['Summer 2024']
ARCH,376,"(ARCH101,ARCH285),(ARCH101,GEOG251),(ARCH101,PSYC210),(ARCH101,STAT101),(ARCH101,STAT201),(ARCH101,STAT203),(ARCH101,STAT205),(ARCH201,ARCH285),(ARCH201,GEOG251),(ARCH201,PSYC210),(ARCH201,STAT101),(ARCH201,STAT201),(ARCH201,STAT203),(ARCH201,STAT205)",2,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205.","['Spring 2025', 'Spring 2024']"
ARCH,377,"(ARCH101),(ARCH201)",1,"ARCH 101 or ARCH 201, and one lower division ARCH course.",['Fall 2024']
ARCH,378,(ARCH273),1,ARCH 273.,['Fall 2024']
ARCH,382,"(ARCH282),(ARCH372)",1,ARCH 282 or 372.,['Spring 2025']
ARCH,383,,1,"Any lower division ARCH, BISC, BPK, CHEM, CRIM or HSCI course.",['Fall 2024']
ARCH,386,"(ARCH101),(ARCH201)",2,ARCH 101 or ARCH 201.,"['Spring 2025', 'Spring 2024']"
ARCH,390,"(ARCH101,ARCH272W),(ARCH101,ARCH273),(ARCH201,ARCH272W),(ARCH201,ARCH273)",1,ARCH 101 or ARCH 201 and either ARCH 272/272W or 273.,['Summer 2025']
ARCH,433,"(ARCH282),(ARCH372)",2,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 434 and 435.,"['Summer 2025', 'Summer 2024']"
ARCH,434,"(ARCH282),(ARCH372)",2,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 435.,"['Summer 2025', 'Summer 2024']"
ARCH,435,"(ARCH282),(ARCH372)",2,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 434.,"['Summer 2025', 'Summer 2024']"
ARCH,436,(ARCH373),2,ARCH 373 and permission of the department. Normally taken concurrently with ARCH 433 and ARCH 434.,"['Fall 2024', 'Summer 2024']"
ARCH,442,"(ARCH373),(CRIM357),(BPK303),(BPK324),(BPK325),(BPK326)",1,"ARCH 373 or CRIM 357, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended.",['Spring 2025']
ARCH,450,(ARCH351),1,ARCH 351 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,451,(ARCH450),1,ARCH 450 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,452,"(ARCH373),(HSCI321),(HSCI324),(BPK303),(BPK324),(BPK325),(BPK326)",1,"ARCH 373 or HSCI 321, HSCI 324, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended.",['Spring 2024']
ARCH,479,"(ARCH282),(ARCH372)",5,"45 units, including ARCH 282 or 372, and permission of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,480,"(ARCH282),(ARCH372)",5,"45 units, including ARCH 282 or 372, and permission of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,498,,4,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
ARCH,499,,5,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,101,"(BISC100),(BISC113),(BPK105),(HSCI100)",5,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+); and Chemistry 12 (or equivalent) with a minimum grade of C (or CHEM 111 with a minimum grade of C-).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,102,"(BISC100),(BISC113),(BPK105),(HSCI100)",5,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,106,,1,Enrolled in the MSE program.,['Fall 2024']
BISC,113,,3,,"['Summer 2025', 'Spring 2025', 'Spring 2024']"
BISC,171,,1,,['Fall 2024']
BISC,202,"(BISC101,BISC102)",5,"BISC 101 and 102, both with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,204,"(BISC101,BISC102)",3,"BISC 101 and 102, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BISC,205,"(BISC101,BISC102,PHYS101)",3,"BISC 101, BISC 102, and PHYS 101, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BISC,212,"(BISC101,BISC102)",1,"BISC 101 and 102, both with a minimum grade of C-, and completion of less than 60 units; or permission of the instructor.",['Summer 2024']
BISC,298,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,300,(BISC202),5,BISC 202 with a minimum grade of C-. Recommended: BISC 204.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,303,"(BISC102,MBB222,MBB231)",3,"BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
BISC,305,"(BISC205,MBB231),(BPK205,MBB231)",1,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-.",['Summer 2024']
BISC,306,"(BISC101,BISC102,BISC204),(BISC101,BISC102,GEOG215)",2,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,308,"(BISC101,BISC102,BISC204),(BISC101,BISC102,GEOG215)",1,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.",['Fall 2024']
BISC,309,(BISC204),2,BISC 204 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
BISC,313,"(BISC101,BISC204),(BISC101,BISC205),(BISC101,GEOG215),(BISC101,MBB231)",2,"BISC 101 and (BISC 204, or BISC 205, or GEOG 215, or MBB 231), both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,316,"(BISC101,BISC102)",3,"BISC 101 and 102, both with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
BISC,317,"(BISC101,BISC102)",1,"BISC 101 and 102, both with a minimum grade of C-.",['Fall 2024']
BISC,318,"(BISC101,BISC102,BISC204),(BISC101,BISC102,HSCI212)",1,"BISC 101, 102, and (BISC 204 or HSCI 212), all with a minimum grade of C-.",['Spring 2024']
BISC,328,"(BISC101,BISC102)",1,"BISC 101 and 102, both with a minimum grade of C-. Recommended: BISC 204.",['Fall 2024']
BISC,333,"(BISC202,MBB222,MBB231)",5,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,337,"(BISC101,BISC102)",2,"BISC 101 and 102, both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,341,,5,Acceptance in the Biological Sciences Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,342,(BISC341),5,BISC 341 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,357,"(BISC202,MBB222,MBB231)",1,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: MBB 331.",['Fall 2024']
BISC,366,"(BISC205,MBB231)",1,"BISC 205 and MBB 231, both with a minimum grade of C-.",['Fall 2024']
BISC,371,,2,A minimum of 45 units.,"['Spring 2025', 'Spring 2024']"
BISC,373,,1,60 units.,['Spring 2025']
BISC,405,"(BISC205,MBB231),(BPK205,MBB231),(BPK306),(HSCI321)",2,"Students complete one of: (BISC 205 and MBB 231), or (BPK 205 and MBB 231), or BPK 306, or HSCI 321; each with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,406,"(BISC306),(BISC316)",1,BISC 306 or BISC 316 with a grade of C- or better.,['Spring 2025']
BISC,407,"(BISC102,BISC204,MATH154),(BISC102,GEOG215,MATH154)",1,"BISC 102, (BISC 204 or GEOG 215), and MATH 154, all with a minimum grade of C-.",['Spring 2025']
BISC,410,"(BISC102,BISC204),(BISC102,GEOG215)",1,"BISC 102 and (BISC 204 or GEOG 215), both with a minimum grade of C-.",['Fall 2024']
BISC,412,"(BISC101,BISC102,BISC204),(BISC101,BISC102,GEOG215)",1,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.",['Spring 2024']
BISC,413,(BISC204),2,BISC 204 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
BISC,423,"(BISC202,MBB222,MBB231)",1,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: BISC 333 or MBB 331.",['Spring 2025']
BISC,424,"(BISC202,MBB222,MBB231,BISC357),(BISC202,MBB222,MBB231,MBB331)",1,"BISC 202, MBB 222, MBB 231, and (BISC 357 or MBB 331), all with a minimum grade of C-.",['Spring 2025']
BISC,425,"(BISC205,MBB231),(BPK205,MBB231)",1,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-.",['Fall 2024']
BISC,428,"(BISC101,BISC102,MBB222,MBB231)",1,"BISC 101, BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-.",['Summer 2025']
BISC,433,"(MBB222,MBB231,BISC303)",1,"MBB 222, MBB 231, and BISC 303, all with a minimum grade of C-.",['Fall 2024']
BISC,441,"(BISC202),(BISC204)",1,"BISC 202 or 204, both with a minimum grade of C-. Recommended: BISC 300.",['Fall 2024']
BISC,443,(BISC342),5,BISC 342 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,444,(BISC443),5,BISC 443 and re-admission to the science co-operative education program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,446,(BISC444),5,BISC 444 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,447,"(MBB322),(BISC333)",1,"MBB 322 or BISC 333, with a minimum grade of C.",['Spring 2025']
BISC,457,"(BISC202,MBB222,MBB231)",1,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-.",['Spring 2024']
BISC,471,,1,To be announced.,['Fall 2024']
BISC,474,,1,To be announced.,['Fall 2024']
BISC,475,,1,To be announced.,['Fall 2024']
BISC,490,,5,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,491,"(BISC490,BISC492)",5,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and 492.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,498,,5,Completion of lower division course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,499,,5,Completion of lower division course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,105,,5,"Recommended: Grade 11 Biology, Chemistry and Physics.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,110,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,140,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,141,,1,,['Fall 2024']
BPK,142,"(BPK105),(BPK110),(BPK143),(BISC100),(BISC113),(HSCI100)",5,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of B or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,143,,3,Recommended: Medical clearance from a personal physician.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,201,"(MATH150,MATH152),(MATH151,MATH152),(MATH154,MATH152),(MATH150,MATH155),(MATH151,MATH155),(MATH154,MATH155),(PHYS101,BPK142),(PHYS120,BPK142),(PHYS125,BPK142),(PHYS140,BPK142)",3,"MATH 150, 151 or 154, MATH 152 or 155 (may be taken concurrently), PHYS 101 (or 120 or 125 or 140), BPK 142.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,205,"(BISC101,CHEM281,PHYS101,PHYS102,BPK142)",3,"BISC 101, CHEM 281, PHYS 101 and 102.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,207,(BPK142),3,BPK 142 or permission of instructor.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,208,,2,,"['Spring 2025', 'Spring 2024']"
BPK,241,(BPK142),5,BPK 142.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,301,"(PHYS102,BPK201),(PHYS121,BPK201),(PHYS126,BPK201),(PHYS141,BPK201)",1,"PHYS 102 (or 121 or 126 or 141), BPK 201.",['Fall 2024']
BPK,303,"(BPK201,BPK241,STAT201)",3,"BPK 201, BPK 241 and STAT 201 or an equivalent statistics course.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,305,"(BPK205,MBB231,MATH155),(BPK205,MBB231,MATH152),(BPK205,MBB201,MATH155),(BPK205,MBB201,MATH152),(BISC305,MBB231,MATH155),(BISC305,MBB231,MATH152),(BISC305,MBB201,MATH155),(BISC305,MBB201,MATH152)",3,"BPK 205, MBB 231 (or 201), MATH 155 (or 152). Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,306,(BPK207),3,"BPK 207. Corequisite: BPK 305. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,307,(BPK305),2,"BPK 305. Corequisite: BPK 306; however, students who took BPK 306 prior to Fall 2017, cannot take this course. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 or 152 plus permission of the instructor.","['Spring 2025', 'Spring 2024']"
BPK,310,"(BPK205,MBB201),(BPK205,MBB231)",5,"BPK 205, MBB 201 (or 231). Recommended: BPK 201.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,311,"(BPK105,BPK110),(BPK205,BPK110)",3,"BPK 105 or 205, and 110.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,312,"(BPK105),(BPK205)",2,"BPK 105 (or 205), and 110.","['Spring 2025', 'Spring 2024']"
BPK,325,"(BPK142,BPK105),(BPK142,BPK205)",2,BPK 142 and either BPK 105 (with a grade of C or higher) or BPK 205.,"['Spring 2025', 'Spring 2024']"
BPK,326,"(BPK142,BPK201,BPK205)",5,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,340,"(BPK142,STAT201),(BPK142,PSYC201)",5,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,342,"(BPK105,BPK142,BPK143),(BPK205,BPK142,BPK143)",2,"BPK 105 (or 205), 142 and 143.","['Spring 2025', 'Spring 2024']"
BPK,343,"(BPK142,BPK143,BPK205,STAT201)",4,"BPK 142, 143 and 205; STAT 201 or an equivalent statistics course, BPK 340 (may be taken concurrently). Students must successfully complete a Criminal Record Check prior to enrolling.","['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,351,(BPK142),5,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,352,(BPK351),5,BPK 351.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,375,"(BPK105,BPK142),(BPK205,BPK142)",2,"BPK 105 or 205, and 142.","['Summer 2025', 'Fall 2024']"
BPK,381,"(PSYC210),(BPK207,STAT201)",1,PSYC 210 or both of BPK 207 and STAT 201. Corequisite: STAT 201 may be taken concurrently. Recommended: BPK 180.,['Spring 2025']
BPK,401,"(BPK201,BPK205),(BPK208)",2,"90 credits, BPK 201 and 205, or BPK 208.","['Spring 2025', 'Spring 2024']"
BPK,407,"(BPK304W,BPK305,BPK306)",2,"BPK 304W, 305 and 306.","['Summer 2025', 'Spring 2024']"
BPK,409,"(BPK304W,BPK305,BPK306)",3,"BPK 304W, 305 and 306.","['Spring 2025', 'Fall 2024', 'Summer 2024']"
BPK,415,"(BPK306),(BISC305)",1,BPK 306 or BISC 305.,['Spring 2025']
BPK,417,"(BPK306,BPK340)",2,"BPK 306, 340. Recommended: BPK 110.","['Spring 2025', 'Spring 2024']"
BPK,421,,1,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,['Fall 2024']
BPK,422,,1,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,['Fall 2024']
BPK,423,,2,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,"['Fall 2024', 'Spring 2024']"
BPK,426,(BPK326),1,BPK 326. Corequisite: BPK 306. BPK 306 is recommended to be completed prior to enrolling in BPK 426.,['Spring 2025']
BPK,432,"(BPK305),(BISC305)",1,BPK 305 or BISC 305. Recommended: BPK 407.,['Fall 2024']
BPK,443,"(BPK304W,BPK310,BPK343)",2,"BPK 304W, 310 and 343 (one of which may be taken as a corequisite).","['Spring 2025', 'Spring 2024']"
BPK,444,(BPK305),1,"BPK 305. Recommended: BPK 110, 306, 310 and 343.",['Spring 2024']
BPK,446,(BPK306),2,BPK 306. Recommended: BPK 336 and/or BPK 415.,"['Spring 2025', 'Spring 2024']"
BPK,448,"(BPK201,BPK306),(BPK207,BPK306),(BPK201,BPK208)",3,"BPK 201 or 207, and BPK 306, or for biomedical engineering students, BPK 201 and 208.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,451,(BPK352),5,BPK 352.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,452,(BPK451),5,BPK 451.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,453,(BPK452),4,BPK 452.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,457,"(PSYC301),(BPK304W)",4,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,459,(BPK457),4,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,481,"(BPK303,BPK326)",3,BPK 303 and 326.,"['Spring 2025', 'Summer 2024', 'Spring 2024']"
BPK,482,"(BPK180W,BPK201,BPK326,BPK381)",2,"BPK 180W, 201, 326, and 381. Corequisite: BPK 481. Students must successfully complete a Criminal Record Check before enrolling.","['Spring 2025', 'Spring 2024']"
BPK,491,(BPK304W),5,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,495,(BPK491),5,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,496,"(BPK304W),(PSYC210)",5,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,498,"(BPK304W),(PSYC210)",5,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,499,(BPK491),5,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
