Department,CourseNumber,Prerequisites,Offerings
ARCH,373,"ARCH 131 or any lower division ARCH, BISC, HSCI, or BPK course.","['Spring 2025', 'Spring 2024']"
ARCH,374,ARCH 101 (or ARCH 201). Recommended: ARCH 282 (or ARCH 372) and ARCH 271.,['Fall 2024']
ARCH,375,"ARCH 101, ARCH 201, or 45 units.",['Summer 2024']
ARCH,376,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205.","['Spring 2025', 'Spring 2024']"
ARCH,377,"ARCH 101 or ARCH 201, and one lower division ARCH course.",['Fall 2024']
ARCH,378,ARCH 273.,['Fall 2024']
ARCH,382,ARCH 282 or 372.,['Spring 2025']
ARCH,383,"Any lower division ARCH, BISC, BPK, CHEM, CRIM or HSCI course.",['Fall 2024']
ARCH,386,ARCH 101 or ARCH 201.,"['Spring 2025', 'Spring 2024']"
ARCH,390,ARCH 101 or ARCH 201 and either ARCH 272/272W or 273.,['Summer 2025']
ARCH,433,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 434 and 435.,"['Summer 2025', 'Summer 2024']"
ARCH,434,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 435.,"['Summer 2025', 'Summer 2024']"
ARCH,435,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 434.,"['Summer 2025', 'Summer 2024']"
ARCH,436,ARCH 373 and permission of the department. Normally taken concurrently with ARCH 433 and ARCH 434.,"['Fall 2024', 'Summer 2024']"
ARCH,442,"ARCH 373 or CRIM 357, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended.",['Spring 2025']
ARCH,450,ARCH 351 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,451,ARCH 450 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,452,"ARCH 373 or HSCI 321, HSCI 324, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended.",['Spring 2024']
ARCH,479,"45 units, including ARCH 282 or 372, and permission of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,480,"45 units, including ARCH 282 or 372, and permission of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,498,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
ARCH,499,Permission of the department.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,101,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+); and Chemistry 12 (or equivalent) with a minimum grade of C (or CHEM 111 with a minimum grade of C-).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,102,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+).","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,106,Enrolled in the MSE program.,['Fall 2024']
BISC,113,,"['Summer 2025', 'Spring 2025', 'Spring 2024']"
BISC,171,,['Fall 2024']
BISC,202,"BISC 101 and 102, both with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,204,"BISC 101 and 102, both with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BISC,205,"BISC 101, BISC 102, and PHYS 101, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BISC,212,"BISC 101 and 102, both with a minimum grade of C-, and completion of less than 60 units; or permission of the instructor.",['Summer 2024']
BISC,298,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,300,BISC 202 with a minimum grade of C-. Recommended: BISC 204.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,303,"BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
BISC,305,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-.",['Summer 2024']
BISC,306,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,308,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.",['Fall 2024']
BISC,309,BISC 204 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
BISC,313,"BISC 101 and (BISC 204, or BISC 205, or GEOG 215, or MBB 231), both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,316,"BISC 101 and 102, both with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
BISC,317,"BISC 101 and 102, both with a minimum grade of C-.",['Fall 2024']
BISC,318,"BISC 101, 102, and (BISC 204 or HSCI 212), all with a minimum grade of C-.",['Spring 2024']
BISC,328,"BISC 101 and 102, both with a minimum grade of C-. Recommended: BISC 204.",['Fall 2024']
BISC,333,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,337,"BISC 101 and 102, both with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,341,Acceptance in the Biological Sciences Co-operative Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,342,BISC 341 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,357,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: MBB 331.",['Fall 2024']
BISC,366,"BISC 205 and MBB 231, both with a minimum grade of C-.",['Fall 2024']
BISC,371,A minimum of 45 units.,"['Spring 2025', 'Spring 2024']"
BISC,373,60 units.,['Spring 2025']
BISC,405,"Students complete one of: (BISC 205 and MBB 231), or (BPK 205 and MBB 231), or BPK 306, or HSCI 321; each with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
BISC,406,BISC 306 or BISC 316 with a grade of C- or better.,['Spring 2025']
BISC,407,"BISC 102, (BISC 204 or GEOG 215), and MATH 154, all with a minimum grade of C-.",['Spring 2025']
BISC,410,"BISC 102 and (BISC 204 or GEOG 215), both with a minimum grade of C-.",['Fall 2024']
BISC,412,"BISC 101, 102, and (BISC 204 or GEOG 215), all with a minimum grade of C-.",['Spring 2024']
BISC,413,BISC 204 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
BISC,423,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: BISC 333 or MBB 331.",['Spring 2025']
BISC,424,"BISC 202, MBB 222, MBB 231, and (BISC 357 or MBB 331), all with a minimum grade of C-.",['Spring 2025']
BISC,425,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-.",['Fall 2024']
BISC,428,"BISC 101, BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-.",['Summer 2025']
BISC,433,"MBB 222, MBB 231, and BISC 303, all with a minimum grade of C-.",['Fall 2024']
BISC,441,"BISC 202 or 204, both with a minimum grade of C-. Recommended: BISC 300.",['Fall 2024']
BISC,443,BISC 342 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,444,BISC 443 and re-admission to the science co-operative education program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,446,BISC 444 and readmission to the Science Co-op Education Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,447,"MBB 322 or BISC 333, with a minimum grade of C.",['Spring 2025']
BISC,457,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-.",['Spring 2024']
BISC,471,To be announced.,['Fall 2024']
BISC,474,To be announced.,['Fall 2024']
BISC,475,To be announced.,['Fall 2024']
BISC,490,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,491,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and 492.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,498,Completion of lower division course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BISC,499,Completion of lower division course requirements.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,105,"Recommended: Grade 11 Biology, Chemistry and Physics.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,110,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,140,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,141,,['Fall 2024']
BPK,142,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of B or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,143,Recommended: Medical clearance from a personal physician.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,201,"MATH 150, 151 or 154, MATH 152 or 155 (may be taken concurrently), PHYS 101 (or 120 or 125 or 140), BPK 142.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,205,"BISC 101, CHEM 281, PHYS 101 and 102.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,207,BPK 142 or permission of instructor.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,208,,"['Spring 2025', 'Spring 2024']"
BPK,241,BPK 142.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,301,"PHYS 102 (or 121 or 126 or 141), BPK 201.",['Fall 2024']
BPK,303,"BPK 201, BPK 241 and STAT 201 or an equivalent statistics course.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,305,"BPK 205, MBB 231 (or 201), MATH 155 (or 152). Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,306,"BPK 207. Corequisite: BPK 305. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,307,"BPK 305. Corequisite: BPK 306; however, students who took BPK 306 prior to Fall 2017, cannot take this course. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 or 152 plus permission of the instructor.","['Spring 2025', 'Spring 2024']"
BPK,310,"BPK 205, MBB 201 (or 231). Recommended: BPK 201.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,311,"BPK 105 or 205, and 110.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,312,"BPK 105 (or 205), and 110.","['Spring 2025', 'Spring 2024']"
BPK,325,BPK 142 and either BPK 105 (with a grade of C or higher) or BPK 205.,"['Spring 2025', 'Spring 2024']"
BPK,326,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,340,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,342,"BPK 105 (or 205), 142 and 143.","['Spring 2025', 'Spring 2024']"
BPK,343,"BPK 142, 143 and 205; STAT 201 or an equivalent statistics course, BPK 340 (may be taken concurrently). Students must successfully complete a Criminal Record Check prior to enrolling.","['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,351,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,352,BPK 351.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,375,"BPK 105 or 205, and 142.","['Summer 2025', 'Fall 2024']"
BPK,381,PSYC 210 or both of BPK 207 and STAT 201. Corequisite: STAT 201 may be taken concurrently. Recommended: BPK 180.,['Spring 2025']
BPK,401,"90 credits, BPK 201 and 205, or BPK 208.","['Spring 2025', 'Spring 2024']"
BPK,407,"BPK 304W, 305 and 306.","['Summer 2025', 'Spring 2024']"
BPK,409,"BPK 304W, 305 and 306.","['Spring 2025', 'Fall 2024', 'Summer 2024']"
BPK,415,BPK 306 or BISC 305.,['Spring 2025']
BPK,417,"BPK 306, 340. Recommended: BPK 110.","['Spring 2025', 'Spring 2024']"
BPK,421,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,['Fall 2024']
BPK,422,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,['Fall 2024']
BPK,423,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.,"['Fall 2024', 'Spring 2024']"
BPK,426,BPK 326. Corequisite: BPK 306. BPK 306 is recommended to be completed prior to enrolling in BPK 426.,['Spring 2025']
BPK,432,BPK 305 or BISC 305. Recommended: BPK 407.,['Fall 2024']
BPK,443,"BPK 304W, 310 and 343 (one of which may be taken as a corequisite).","['Spring 2025', 'Spring 2024']"
BPK,444,"BPK 305. Recommended: BPK 110, 306, 310 and 343.",['Spring 2024']
BPK,446,BPK 306. Recommended: BPK 336 and/or BPK 415.,"['Spring 2025', 'Spring 2024']"
BPK,448,"BPK 201 or 207, and BPK 306, or for biomedical engineering students, BPK 201 and 208.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,451,BPK 352.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,452,BPK 451.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,453,BPK 452.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,457,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,459,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
BPK,481,BPK 303 and 326.,"['Spring 2025', 'Summer 2024', 'Spring 2024']"
BPK,482,"BPK 180W, 201, 326, and 381. Corequisite: BPK 481. Students must successfully complete a Criminal Record Check before enrolling.","['Spring 2025', 'Spring 2024']"
BPK,491,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,495,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,496,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,498,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BPK,499,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,200,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,201,This course is only open to approved business administration majors admitted to the faculty through the Business Foundation Pathways - High School Pathway. Corequisite: BUS 203 with a P grade.,['Fall 2024']
BUS,202,"This course is only open to approved business administration majors, joint majors, or second degree students admitted to the faculty through the Business Foundation Pathways - Transfer Pathway. Corequisite: BUS 203 with a P grade.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BUS,203,"This course is only open to approved business administration majors admitted to the faculty through the BBA major - highschool or transfer stream in Fall 2022 and onward. Corequisite: BUS 201 or BUS 202, with a minimum grade of C-.","['Spring 2025', 'Fall 2024']"
BUS,207,"ECON 103 or ECON 113, ECON 105 or ECON 115, MATH 157, all with a minimum grade of C-; 15 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,221,,"['Summer 2024', 'Spring 2024']"
BUS,225,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,232,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,233,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,237,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,238,12 units.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,240,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,251,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,254,BUS 251 with a minimum grade of C-; 15 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,272,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,275,12 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,300,"This course is only open to approved business administration majors admitted to the faculty in Fall 2022 and onward. BUS 100 or BUS 203, with a P grade and BUS 217W with a minimum grade of C-; 45 units. Recommendation to take with BUS 360W.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,303,45 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,307,"45 units; BUS 207 or ECON 201, with a minimum grade of C-.",['Fall 2024']
BUS,311,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 with a minimum grade of C- and 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have credit for BUS 251 with a minimum grade of C-, 45 units, and corequisite: BUS 200.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,312,BUS 254 with a minimum grade of C- and 45 units; OR actuarial science students with BUS 254 with a minimum grade of C- and 45 units. Recommended: BUS 207 or ECON 201.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,314,"BUS 238 or BUS 240, with a minimum grade of C-; 45 units.","['Fall 2024', 'Spring 2024']"
BUS,315,"BUS 312, BUS 336 and (BUS 207 or ECON 201), all with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,316,"BUS 312 and BUS 336, both with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,318,"BUS 312 with a minimum grade of C-, 45 units, and permission of the instructor. This course is only open to students selected for the BEAM program.",['Fall 2024']
BUS,320,BUS 251 with a minimum grade of C-; 45 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,321,BUS 320 with a minimum grade of C-; 45 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,322,"BUS 254 with a minimum grade of C-, 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,325,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,326,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,327,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,330,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,331,"BUS 330 (or BUS 329) with a minimum grade of C-, 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,336,"MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; BUS 232, ECON 233, STAT 270, or STAT 271, with a minimum grade of C-; 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,338,"BUS 238 or BUS 240, with a minimum grade of C-; 45 units.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
BUS,340,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,341,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,343,45 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
BUS,345,"BUS 232 or ECON 233 or STAT 270 or STAT 271, and BUS 343, both with a minimum grade of C- and 45 units; OR data science majors with BUS 343 with a minimum grade of C- and 45 units.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
